"slide","title"
1,"Seksjon: Data completeness og issues"
2,"Datakompletthet for standardiserte pasientmetadata-kolonner"
3,"Data issues (QC-avvik) for pasientmetadata og dekning"
4,"Ct-verdier per måned - H1"
5,"Ct-verdier per måned - H3"
6,"Ct-verdier per måned - BVIC"
7,"Seksjon: Prøvetabeller"
8,"Prøvekategori etter pasientstatus"
9,"Prøvekategori per måned etter pasientstatus"
10,"Prøvekategori per måned etter pasientstatus"
11,"Prøvekategori per måned etter pasientstatus (heatmap)"
12,"Seksjon: Influensafrekvens"
13,"Frekvenstabell for WHO/ECDC-kategorier, klader og subklader"
14,"Seksjon: Klade- og subkladeplott"
15,"A/H1N1 fordeling av subklade per måned:"
16,"A/H3N2 fordeling av subklade per måned:"
17,"B/Victoria fordeling av subklade per måned:"
18,"A/H1N1 Subklade fordeling per måned:"
19,"A/H3N2 Subklade fordeling per måned:"
20,"B/Victoria Subklade fordeling per måned:"
21,"Seksjon: Antiviral resistens"
22,"Tabell 1. Oppsummering av antiviral resistens"
23,"Tabell 2. Oseltamivir-resistens med NA-mutasjon"
24,"Tabell 3. Peramivir-resistens med NA-mutasjon"
25,"Tabell 4. Zanamivir-resistens med NA-mutasjon"
26,"Tabell 5. Laninamivir-resistens med NA-mutasjon"
27,"Tabell 6. Baloxavir-resistens"
28,"Tabell 7. Adamantan-resistens med M2-mutasjon"
29,"Seksjon: HA-mutasjoner"
30,"Subklader i datasettet og cluster-definerende HA-mutasjoner"
31,"Oppsummering av HA-mutasjoner og epitopmutasjoner"
32,"HA-mutasjonstrender - A/H1N1 - D.3.1"
33,"HA-mutasjonstrender varmekart - A/H1N1 - D.3.1"
34,"HA-mutasjonstrender linjer - A/H1N1 - D.3.1"
35,"HA-mutasjonstrender - A/H1N1 - D.3.1.1"
36,"HA-mutasjonstrender varmekart - A/H1N1 - D.3.1.1"
37,"HA-mutasjonstrender linjer - A/H1N1 - D.3.1.1"
38,"HA-mutasjonstrender - A/H3N2 - J.2"
39,"HA-mutasjonstrender varmekart - A/H3N2 - J.2"
40,"HA-mutasjonstrender linjer - A/H3N2 - J.2"
41,"HA-mutasjonstrender - A/H3N2 - J.2.2"
42,"HA-mutasjonstrender varmekart - A/H3N2 - J.2.2"
43,"HA-mutasjonstrender linjer - A/H3N2 - J.2.2"
44,"HA-mutasjonstrender - A/H3N2 - J.2.3"
45,"HA-mutasjonstrender varmekart - A/H3N2 - J.2.3"
46,"HA-mutasjonstrender linjer - A/H3N2 - J.2.3"
47,"HA-mutasjonstrender - A/H3N2 - J.2.4"
48,"HA-mutasjonstrender varmekart - A/H3N2 - J.2.4"
49,"HA-mutasjonstrender linjer - A/H3N2 - J.2.4"
50,"HA-mutasjonstrender - A/H3N2 - K"
51,"HA-mutasjonstrender varmekart - A/H3N2 - K"
52,"HA-mutasjonstrender linjer - A/H3N2 - K"
53,"HA-mutasjonstrender - B/Victoria - C.3"
54,"HA-mutasjonstrender varmekart - B/Victoria - C.3"
55,"HA-mutasjonstrender linjer - B/Victoria - C.3"
56,"HA-mutasjonstrender - B/Victoria - C.5.1"
57,"HA-mutasjonstrender varmekart - B/Victoria - C.5.1"
58,"HA-mutasjonstrender linjer - B/Victoria - C.5.1"
59,"HA-mutasjonstrender - B/Victoria - C.5.6"
60,"HA-mutasjonstrender varmekart - B/Victoria - C.5.6"
61,"HA-mutasjonstrender linjer - B/Victoria - C.5.6"
62,"HA-mutasjonstrender - B/Victoria - C.5.6.1"
63,"HA-mutasjonstrender varmekart - B/Victoria - C.5.6.1"
64,"HA-mutasjonstrender linjer - B/Victoria - C.5.6.1"
65,"HA-mutasjonstrender - B/Victoria - C.5.7"
66,"HA-mutasjonstrender varmekart - B/Victoria - C.5.7"
67,"HA-mutasjonstrender linjer - B/Victoria - C.5.7"
68,"Lollipop: epitop-posisjoner i HA-proteinet (A/H1N1)"
69,"Lollipop: epitop-posisjoner i HA-proteinet (A/H3N2)"
70,"Lollipop: epitop-posisjoner i HA-proteinet (B/Victoria)"
71,"Mutasjoner per subklade over tid - A/H1N1"
72,"Mutasjoner per subklade over tid - A/H3N2"
73,"Mutasjoner per subklade over tid - B/Victoria"
74,"Epitop mutasjoner per subklade over tid - A/H1N1"
75,"Epitop mutasjoner per subklade over tid - A/H3N2"
76,"Epitop mutasjoner per subklade over tid - B/Victoria"
77,"Seksjon: Glykosylering"
78,"Andel glykosyleringssteder over tid per influensasubtype"
79,"Seksjon: Frameshift, insersjoner og delesjoner"
80,"nc ha frameshift andel over tid per influensasubtype"
81,"nc ha insertion andel over tid per influensasubtype"
82,"nc ha deletion andel over tid per influensasubtype"
83,"nc na frameshift andel over tid per influensasubtype"
84,"nc na insertion andel over tid per influensasubtype"
85,"nc na deletion andel over tid per influensasubtype"
86,"nc m1 frameshift andel over tid per influensasubtype"
87,"nc m1 insertion andel over tid per influensasubtype"
88,"nc m1 deletion andel over tid per influensasubtype"
89,"nc m2 frameshift andel over tid per influensasubtype"
90,"nc m2 insertion andel over tid per influensasubtype"
91,"nc m2 deletion andel over tid per influensasubtype"
92,"nc pa frameshift andel over tid per influensasubtype"
93,"nc pa insertion andel over tid per influensasubtype"
94,"nc pa deletion andel over tid per influensasubtype"
95,"nc pb1 frameshift andel over tid per influensasubtype"
96,"nc pb1 insertion andel over tid per influensasubtype"
97,"nc pb1 deletion andel over tid per influensasubtype"
98,"nc pb2 frameshift andel over tid per influensasubtype"
99,"nc pb2 insertion andel over tid per influensasubtype"
100,"nc pb2 deletion andel over tid per influensasubtype"
101,"nc np frameshift andel over tid per influensasubtype"
102,"nc np insertion andel over tid per influensasubtype"
103,"nc np deletion andel over tid per influensasubtype"
104,"nc ns frameshift andel over tid per influensasubtype"
105,"nc ns insertion andel over tid per influensasubtype"
106,"nc ns deletion andel over tid per influensasubtype"
107,"Population Under Surveillance"
108,"Map: Fylke fordeling - left current, right previous"
109,"Map: Landsdel fordeling - left current, right previous"
110,"Kjønn: Season24_25 (N=15) vs Season25_26 (N=723) (pie)"
111,"Kjønn per måned: sesongsammenligning"
112,"Aldersgruppe: sesongsammenligning"
113,"Patient Related Analysis"
114,"H1N1 - Fylke fordeling"
115,"H1N1 - Landsdel fordeling"
116,"H1N1 by Fylke (count + %)"
117,"H1N1 by Landsdel (count + %)"
118,"H1N1 by Age group (count + %)"
119,"H1N1 by Patient status (count + %)"
120,"H1N1 by Sample category group (count + %)"
121,"H3N2 - Fylke fordeling"
122,"H3N2 - Landsdel fordeling"
123,"H3N2 by Fylke (count + %)"
124,"H3N2 by Landsdel (count + %)"
125,"H3N2 by Age group (count + %)"
126,"H3N2 by Patient status (count + %)"
127,"H3N2 by Sample category group (count + %)"
128,"BVIC - Fylke fordeling"
129,"BVIC - Landsdel fordeling"
130,"BVIC by Fylke (count + %)"
131,"BVIC by Landsdel (count + %)"
132,"BVIC by Age group (count + %)"
133,"BVIC by Patient status (count + %)"
134,"BVIC by Sample category group (count + %)"
